timestamp,document,total_tokens,num_chunks,avg_chunk_size,max_chunk_size,min_chunk_size,tokenization_time,chunking_time
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:50:49.953951
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T21:54:38.998396
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T22:07:10.694525
4295,10,474.5,500,245,0.0,0.001001119613647461,Biosafety_Guidance.txt,2024-09-05T22:10:18.877896
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-05T22:20:05.982888
4295,10,474.5,500,245,0.0,0.0009579658508300781,Biosafety_Guidance.txt,2024-09-05T22:20:35.518412
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-07T17:22:45.431167
Biosafety_Guidance.txt,6214,15,414,500,214,0.05,0.02,2024-09-07T17:38:38.484012
2024-09-08T15:02:26.278950,chunks,total_words,4295
2024-09-08T15:02:26.278950,chunks,num_chunks,10
2024-09-08T15:02:26.278950,chunks,avg_chunk_size,3527.2
2024-09-08T15:02:26.278950,chunks,max_chunk_size,5148
2024-09-08T15:02:26.278950,chunks,min_chunk_size,1730
2024-09-08T15:02:26.278950,chunks,document,Biosafety_Guidance.txt
2024-09-08T15:42:03.793270,embeddings,num_embeddings,10
2024-09-08T15:42:03.793270,embeddings,embedding_dimension,1536
2024-09-08T15:42:03.793270,embeddings,embedding_generation_start_time,1725824520.4369972
2024-09-08T15:42:03.793270,embeddings,embedding_generation_end_time,1725824523.7932708
2024-09-08T15:42:03.793270,embeddings,embedding_generation_time,3.356273651123047
2024-09-08T15:44:21.769114,embeddings,num_embeddings,10
2024-09-08T15:44:21.769114,embeddings,embedding_dimension,1536
2024-09-08T15:44:21.769114,embeddings,embedding_generation_start_time,1725824659.4178143
2024-09-08T15:44:21.769114,embeddings,embedding_generation_end_time,1725824661.769114
2024-09-08T15:44:21.769114,embeddings,embedding_generation_time,2.35129976272583
2024-09-08T15:45:48.670985,embeddings,num_embeddings,10
2024-09-08T15:45:48.670985,embeddings,embedding_dimension,1536
2024-09-08T15:45:48.670985,embeddings,embedding_generation_start_time,1725824746.4369571
2024-09-08T15:45:48.670985,embeddings,embedding_generation_end_time,1725824748.6709855
2024-09-08T15:45:48.670985,embeddings,embedding_generation_time,2.2340283393859863
2024-09-08T16:04:35.310744,embeddings,num_embeddings,10
2024-09-08T16:04:35.310744,embeddings,embedding_dimension,1536
2024-09-08T16:04:35.310744,embeddings,embedding_generation_start_time,1725825873.3350215
